Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1958-06-08,Argentina,West Germany,1,3,1549.6937502095375,1500.0,49.693750209537484,3,0,2,19,12,7,0,0,0,0,0,0,-1
1958-06-08,Yugoslavia,Scotland,1,1,1526.1053091097717,1465.9454754380854,60.15983367168633,2,1,2,6,6,0,0,0,2,0,8,-8,0
1958-06-11,Mexico,Wales,1,1,1334.2620205597423,1506.7323906086506,-172.4703700489083,0,0,5,4,17,-13,0,1,0,1,1,0,0
1958-06-11,Brazil,England,0,0,1626.9058430018358,1501.3286080257367,125.57723497609913,2,1,2,12,7,5,1,2,2,10,11,-1,0
1958-06-11,Paraguay,Scotland,3,2,1446.547818245193,1468.6885779806044,-22.140759735411393,1,1,3,6,14,-8,0,1,2,1,9,-8,1
1958-06-11,Yugoslavia,France,3,2,1523.3622065672528,1509.3773487257604,13.984857841492385,1,2,2,3,6,-3,3,0,2,14,10,4,1
1958-06-11,Argentina,Northern Ireland,3,1,1522.2842460135753,1515.717860497287,6.566385516288392,2,0,3,14,12,2,1,0,0,1,0,1,1
1958-06-11,West Germany,Czechoslovakia,2,2,1527.4095041959622,1478.154922910282,49.25458128568016,1,0,0,3,1,2,0,1,4,2,11,-9,0
1958-06-11,Soviet Union,Austria,2,0,1500.064137980287,1546.261005266904,-46.196867286617135,0,1,0,2,2,0,3,0,2,16,15,1,1
1958-06-12,Sweden,Hungary,2,1,1519.1328722457297,1649.1385649517467,-130.00569270601704,2,1,2,11,13,-2,3,1,1,19,11,8,1
1958-06-15,Sweden,Wales,0,0,1540.8552423059973,1499.3837692091233,41.47147309687398,3,0,2,11,12,-1,0,2,0,2,2,0,0
1958-06-15,Czechoslovakia,Argentina,6,1,1480.4081058491267,1545.830710170244,-65.4226043211172,0,1,4,3,12,-9,2,0,3,14,12,2,1
1958-06-15,Paraguay,Yugoslavia,3,3,1463.566059913747,1538.7185276544753,-75.1524677407283,2,1,2,9,13,-4,2,2,1,6,6,0,0
1958-06-15,Brazil,Soviet Union,2,0,1621.3621295538176,1527.2366302140597,94.12549933975788,2,2,1,11,5,6,1,1,0,4,2,2,1
1958-06-15,England,Austria,2,2,1506.872321473755,1519.0885130331312,-12.216191559376284,1,3,1,10,10,0,2,0,3,11,17,-6,0
1958-06-15,France,Scotland,2,1,1494.0210276385378,1451.6703363120503,42.35069132648755,2,0,3,13,12,1,0,1,3,3,12,-9,1
1958-06-15,West Germany,Northern Ireland,2,2,1525.1563212571175,1492.1713963406182,32.98492491649927,1,1,0,5,3,2,1,0,1,2,3,-1,0
1958-06-15,Hungary,Mexico,4,0,1627.416194891479,1341.6106419592695,285.8055529322096,2,1,2,12,10,2,0,1,4,4,14,-10,1
1958-06-17,Northern Ireland,Czechoslovakia,2,1,1493.685860907565,1517.4146426927841,-23.7287817852191,1,1,1,4,5,-1,1,1,3,8,11,-3,1
1958-06-17,Soviet Union,England,1,0,1509.5840543636386,1507.4346661625877,2.149388201050897,1,1,1,4,4,0,1,3,1,8,8,0,1
